Name HD,Name HIP,C,Spec,ref,Mass,ref,[Fe/H],ref,R_HK,ref
25680,19076,Aa,G1V,1,,,0.04,3,-4.608,1
25998,19335,Ea,F8V,1,,,0.02,2,-4.468,1
26491,19233,Aa,G1V,4,,,-0.06,3,-4.889,4
26923,19859,A,G0V,4,,,-0.13,2,-4.521,4
26965,19849,A,K0.5V,4,,,-0.08,3,-4.9,5
29883,21988,,K5III,7,,,-0.16,3,-4.87,9
30495,22263,,G1.5V,4,,,-0.01,3,-4.6,5
30501,22122,,K2V,4,,,-0.09,4,-4.762,4
30876,22451,,K2V,7,,,-0.11,3,-4.55,9
32778,23437,A,G7V,4,,,-0.48,3,-4.87,4
32850,23786,Aa,G9V,1,,,-0.19,2,-4.6,5
32923,23835,,G1V,1,,,-0.13,3,-5.03,5
33262,23693,,F9V,4,,,-0.2,2,-4.373,4
33564,25110,A,F7V,1,,,-0.06,2,-4.949,1
34411,24813,,G1V,1,,,0.09,3,-5.05,5
34721,24786,,F9-V,4,,,-0.08,3,-5.03,5
35112,25119,A,K2.5V,1,,,-0.27,2,-4.879,1
35296,25278,A,F8V,1,,,-0.15,2,-4.353,1
35854,25421,,K3-V,4,,,-0.04,3,-4.922,4
36435,25544,,G9V,4,,,-0.18,2,-4.499,4
36705,25647,Aa,K2V,4,0.87 1,3,-0.59,2,-3.88,4
37008,26505,,K1V,1,,,-0.31,3,-4.96,5
37394,26779,A,K0V,1,,,0.16,3,-4.553,1
37572,26373,A,K1.5V,4,,,-0.49,2,-4.234,4
38230,27207,,K0V,1,,,-0.02,3,-4.99,5
38858,27435,,G2V,1,,,-0.21,3,-4.95,5
39091,26394,A,G0V,4,,,0.04,3,-4.941,4
39587,27913,Aa,G0V,4,1.10 1,4,-0.16,2,-4.426,4
39855,27922,A,G8V,4,,,-0.49,2,-4.932,4
40307,27887,A,K2.5V,4,,,-0.25,3,-5.037,4
40397,28267,A,G7V,1,,,-0.05,3,-4.98,5
41593,28954,,G9V,1,,,,,-4.39,5
42618,29432,,G3V,1,,,-0.09,3,-4.94,5
42807,29525,,G5V,1,,,-0.21,2,-4.465,1
43162,29568,A,G6.5V,4,,,-0.1,2,-4.4,5
43587,29860,Aa,G0V,4,,,-0.08,3,-5,5
43834,29271,Aa,G7V,4,,,0.05,3,-4.94,4
45088,30630,Aa,K3V,1,0.83 1,5,-0.85,2,-4.266,1
45184,30503,,G1.5V,4,,,0.03,3,-4.95,5
45270,30314,A,G0Vp,4,,,-0.18,2,-4.378,4
46588,32439,,F8V,1,,,-0.25,2,-4.885,1
48189,31711,A,G1V,4,,,-0.23,2,-4.268,4
48682,32480,,F9V,1,,,0.09,3,-4.85,5
50692,33277,,G0V,1,,,-0.13,3,-4.94,5
51419,33537,,G5V,1,,,-0.33,3,-4.87,5
51866,33852,,K3V,1,,,,,-4.889,1
52698,33817,Aa,K1V,4,,,,,-4.59,5
52711,34017,,G0V,1,,,-0.1,3,-4.96,5
53143,33690,,K0IV-V,4,,,-0.01,2,-4.547,4
53705,34065,A,G0V,4,,,-0.15,3,-4.981,4
53927,34414,,K2.5V,1,,,-0.27,2,-4.984,1
54371,34567,Aa,G6V,1,,,-0.1,2,-4.462,1
55575,35136,,F9V,1,,,-0.35,2,-4.95,5
57095,35296,A,K2.5V,4,,,,,-4.538,4
59468,36210,,G6.5V,4,,,0.01,3,-4.946,4
59747,36704,,K1V,1,,,-0.03,3,-4.37,5
59967,36515,,G2V,4,,,-0.24,2,-4.372,4
60491,36827,,K2.5V,1,,,-0.26,3,-4.43,5
61606,37349,A,K3-V,1,,,-0.05,3,-4.39,5
62613,38784,,G8V,7,,,-0.23,2,-4.84,5
63077,37853,Aa,F9V,4,,,-0.75,2,-4.97,5
63433,38228,,G5V,1,,,0.02,3,-4.39,5
64096,38382,A,G0V,4,0.93,6,-0.18,2,-4.883,4
64468,38657,Aa,K2.5V,1,,,0.09,3,-5.146,1
64606,38625,Aa,K0V,1,,,-0.8,2,-4.94,5
65430,39064,Aa,K0V,1,,,-0.04,3,-5.01,5
65583,39157,,K0V,1,,,-0.48,3,-4.95,5
65907,38908,A,F9.5V,4,,,-0.15,3,-4.846,4
67199,39342,Aa,K2V,4,,,0.01,2,-4.843,4
67228,39780,,G2IV,1,,,0.17,3,-5.12,5
68017,40118,Aa,G3V,1,,,-0.3,3,-4.92,5
68257,40167,A,F8V,1,,,0.08,2,,
69830,40693,A,G8+V,4,,,-0.08,3,-4.95,5
71148,41484,,G1V,1,,,-0.01,3,-4.95,5
72673,41926,,G9V,4,,,-0.33,3,-4.95,5
72760,42074,Aa,K0-V,1,,,0.03,3,-4.38,5
72905,42438,,G1.5Vb,7,,,-0.25,2,-4.4,5
73350,42333,,G5V,1,,,0.04,3,-4.49,5
73667,42499,,K2V,1,,,-0.36,3,-4.97,5
73752,42430,A,G5IV,4,1.25 1,0,0.31,2,-5.031,4
74385,42697,A,K2+V,4,,,-0.03,2,-4.902,4
74576,42808,,K2.5V,4,,,-0.24,2,-4.402,4
75732,43587,A,K0IV-V,1,,,0.25,3,-5.04,5
75767,43557,Aa,G1.5V,1,,,-0.18,2,-4.638,1
76151,43726,,G3V,4,,,0.07,3,-4.853,4
76932,44075,,G2V,4,,,-0.7,2,-4.781,4
78366,44897,,G0IV-V,1,,,0.03,3,-4.555,1
79028,45333,Aa,G0IV-V,1,,,-0.1,2,-5.073,1
79096,45170,Aa,G9V,1,0.89,6,-0.3,2,-4.846,1
79969,45617,A,K3V,1,0.74 1,0,-0.22,2,-4.736,1
80715,45963,Aa,K2.5V,1,,,-0.58,1,-4.099,1
82342,46626,A,K3.5V,4,,,,,-5.131,4
82443,46843,A,K1V,4,,,,,-4.234,4
82558,46816,,K0,7,,,-0.21,3,-4.09,9
82885,47080,A,G8+V,1,,,,,-4.68,9
84117,47592,,F8V,4,,,-0.08,3,-4.862,4
84737,48113,,G0IV-V,1,,,0.14,3,-5.23,5
86728,49081,A,G4V,1,,,0.11,3,-5.06,5
87424,49366,,K2V,4,,,-0.14,3,-4.44,5
87883,49699,,K2.5V,1,,,0.04,3,-4.999,1
88742,50075,,G0V,4,,,-0.04,3,-4.806,4
89125,50384,A,F6V,1,,,-0.44,2,-4.832,1
89269,50505,,G4V,1,,,-0.18,3,-4.94,5
90156,50921,,G5V,4,,,-0.21,3,-4.95,5
90343,51819,,K0,7,,,,,-4.58,9
90508,51248,A,G0V,1,,,-0.4,2,-5.005,1
90839,51459,A,F8V,1,,,-0.05,3,-4.86,5
91324,51523,,F9V,4,,,-0.28,2,-4.766,4
91889,51933,,F8V,4,,,-0.27,2,-4.849,4
92719,52369,,G1.5V,4,,,-0.21,2,-4.826,4
92945,52462,,K1.5V,4,,,-0.12,3,-4.32,5
94765,53486,,K2.5V,1,,,-0.03,3,-4.546,1
95128,53721,A,G0V,7,,,0.02,3,-5.02,5
96064,54155,A,G8+V,1,,,-0.13,2,-4.373,1
96612,54426,,K3-V,1,,,,,-4.836,1
97334,54745,A,G1V,1,,,0.08,3,-4.368,1
97343,54704,,G8.5V,4,,,-0.05,3,-5,5
97658,54906,,K1V,1,,,-0.27,3,-4.92,5
98230,55203,Ba,G2V      1,6,,,-0.3,2,,
98281,55210,,G8V,7,,,-0.17,3,-4.94,5
99491,55846,A,K0IV,7,,,0.24,3,-4.84,5
100180,56242,Aa,F9.5V,1,,,-0.02,3,-4.94,5
100623,56452,A,K0-V,4,,,-0.32,3,-4.89,5
101177,56809,A,F9.5V,1,,,-0.17,3,-4.93,5
101206,56829,Aa,K5V,7,,,,,-4.52,9
101501,56997,,G8V,1,,,-0.03,3,-4.55,5
102365,57443,A,G2V,4,,,-0.26,3,-4.957,4
102438,57507,,G6V,4,,,-0.23,3,-4.924,4
102870,57757,,F8V,7,,,0.16,3,-4.94,5
103095,57939,,K1V,1,,,-1.16,3,-4.85,5
104067,58451,,K3-V,4,,,0.04,3,-4.751,4
104304,58576,,G8IV,4,,,0.16,3,-4.92,5
105631,59280,,G9V,1,,,0.14,3,-4.65,5
108954,61053,,F9V,1,,,-0.13,2,-4.921,1
109200,61291,,K1V,4,,,-0.23,3,-5.124,4
109358,61317,,G0V,1,,,-0.1,3,-4.92,5
110463,61946,Aa,K3V,7,,,,,-4.47,9
110810,62229,,K2+V,4,,,-0.03,3,-4.441,4
110833,62145,Aa,K3V,7,,,0.08,2,-4.7,9
110897,62207,,F9V,1,,,-0.59,2,-4.869,1
111312,62505,Aa,K2.5V,4,,,,,-4.571,4
111395,62523,,G7V,1,,,0.06,3,-4.58,5
112758,63366,Aa,G9V,4,,,-0.38,2,-5.067,4
112914,63406,Aa,K3-V,1,,,-0.26,3,-5.043,1
113283,64690,Aa,G5V,4,,,-0.15,2,-4.72,4
113449,63742,Aa,K1V,1,,,,,-4.34,1
114613,64408,,G4IV,4,,,0.16,3,-5.118,4
114710,64394,,G0V,7,,,0.04,3,-4.76,5
114783,64457,A,K1V,1,,,0.1,3,-5.056,1
114853,64550,,G1.5V,4,,,-0.24,3,-4.936,4
115383,64792,,G0Vs,7,,,0.21,3,-4.4,5
115404,64797,A,K2.5V,1,,,-0.49,1,-4.64,1
115617,64924,,G7V,4,,,0.09,3,-5.04,5
116442,65352,A,G9V,1,,,-0.3,3,-4.94,5
116956,65515,,G9V,1,,,-0.13,2,-4.447,1
117043,65530,,G6V,7,,,0.06,2,-4.96,9
117176,65721,A,G5V,7,,,-0.01,3,-4.99,5
118972,66765,,K0V,4,,,-0.09,3,-4.439,4
119332,66781,,K0IV-V,7,,,,,-4.7,9
120136,67275,A,F7V,7,,,0.25,3,-4.7,5
120559,67655,,G7V,4,,,-0.95,2,-5.029,4
120690,67620,Aa,G5+V,4,,,0.05,3,-4.75,5
120780,67742,Aa,K2V,4,,,-0.26,3,-4.888,4
121370,67927,Aa,G0IV,7,,,0.27,2,,
121560,68030,,F6V,7,,,-0.41,3,-4.92,5
122742,68682,Aa,G6V,1,,,-0.08,2,-4.955,1
124106,69357,,K1V,4,,,-0.13,3,-4.63,5
124292,69414,,G8+V,1,,,-0.1,3,-4.97,5
124580,69671,,G0V,4,,,-0.28,2,-4.597,4
124850,69701,Aa,F7V,7,,,-0.04,2,,
125276,69965,Aa,F9V,4,,,-0.62,2,-4.641,4
125455,70016,A,K1V,7,,,-0.15,3,-4.93,5
126053,70319,,G1.5V,1,,,-0.29,3,-4.94,5
127334,70873,,G5V,1,,,0.22,3,-5.06,5
128165,71181,,K3V,7,,,-0.09,3,-4.67,9
128311,71395,A,K3-V,1,,,0.01,3,-4.489,1
128400,71855,,G5V,4,,,-0.14,2,-4.518,4
128620,71683,A,G2V,4,1.11 1,7,0.19,3,-5.059,4
128642,70857,Aa,G5,7,,,-0.39,2,-4.91,5
128987,71743,,G8V,4,,,0.02,2,-4.439,4
130004,72146,,K2.5V,1,,,,,-4.919,1
130042,72493,A,K1V,4,,,-0.21,2,-4.949,4
130307,72312,,K2.5V,1,,,-0.2,3,-4.56,5
130948,72567,A,G2V,7,,,-0.19,2,-4.5,5
131156,72659,A,G7V,1,0.94 1,0,-0.07,3,-4.472,1
131511,72848,Aa,K0V,1,,,0.11,3,-4.51,1
131582,72875,Aa,K3V,7,,,-0.54,2,,
131923,73241,Aa,G4V,4,,,0.09,3,-5.059,4
132142,73005,,K1V,7,,,-0.3,3,-5,5
132254,73100,,F8-V,1,,,0.02,2,-5.03,1
133640,73695,A,G2V,7,,,-0.42,2,-4.61,9
134060,74273,,G0V,4,,,0.08,3,-5.042,4
135204,74537,A,G9V,1,,,-0.06,2,-5.107,1
135599,74702,,K0V,1,,,-0.09,3,-4.52,5
136202,74975,A,F8III-IV,7,,,-0.04,2,,
136352,75181,,G2-V,4,,,-0.23,3,-5.013,4
136713,75253,,K3IV-V,1,,,0.15,3,-4.878,1
136923,75277,,G9V,1,,,-0.07,3,-4.77,5
137107,75312,A,G2V,7,1.19,6,-0.1,2,-4.76,9
137763,75718,Aa,G9V,1,,,0.02,2,-4.97,5
139341,76382,A,K1V,1,0.85 1,0,,,-5.102,1
139777,75809,A,G1.5V(n),1,,,-0.31,2,-4.405,1
140538,77052,A,G5V,7,,,0.06,3,-4.83,5
140901,77358,A,G7IV-V,4,,,0.08,3,-4.802,4
141004,77257,,G0IV-V,1,,,0.09,3,-4.97,5
141272,77408,A,G9V,1,,,-0.05,2,-4.39,5
142267,77801,Aa,G0IV,7,,,-0.38,3,-4.85,5
142373,77760,,G0V,1,,,-0.39,3,-5.11,5
143761,78459,Aa,G0V,1,1.04 1,8,-0.14,3,-5.08,5
144284,78527,Aa,F8IV-V,7,1.2  1,9,0.04,2,,
144287,78709,Aa,G8+V,1,,,-0.13,2,-5.02,5
144579,78775,A,K0V,1,,,-0.49,3,-4.97,5
144628,79190,,K1V,4,,,-0.3,3,-5.128,4
144872,78913,,K3V,1,,,-0.3,2,-4.804,1
145417,79537,,K3V,4,,,-1.37,2,-5.205,4
145675,79248,A,K0IV-V,1,,,0.41,3,-5.06,5
145825,79578,Aa,G2V,4,,,0.03,3,-4.793,4
145958,79492,A,G8V,1,,,-0.07,3,-4.94,5
146233,79672,,G2V,1,,,0.03,3,-4.95,5
146361,79607,Aa,G1IV-V,1,1.14 2,0,-0.26,2,-3.827,1
147513,80337,A,G1V,4,,,0.07,3,-4.656,4
147584,80686,Aa,F9V,4,,,-0.19,2,-4.585,4
147776,80366,A,K3-V,4,,,-0.26,3,-4.81,4
148653,80725,A,K2V,1,0.79 1,0,,,-4.655,1
148704,80925,Aa,K1V,4,,,-0.6,2,-5.101,4
149612,81520,,G5V,4,,,-0.4,3,-4.954,4
149661,81300,,K0V,4,,,0.05,3,-4.57,5
149806,81375,A,K0V,1,,,0.17,3,-4.83,5
151541,81813,,K1V,7,,,-0.18,3,-4.99,5
152391,82588,,G8.5V,4,,,-0.05,3,-4.44,5
153557,83020,A,K3V,1,,,-0.33,2,-4.508,1
154088,83541,,K0IV-V,4,,,0.28,3,-5.02,5
154345,83389,A,G8V,7,,,-0.1,3,-4.91,5
154417,83601,,F9V,1,,,0.03,3,-4.59,5
154577,83990,,K2.5V,4,,,-0.56,3,-5.08,4
155712,84195,,K2.5V,1,,,,,-4.988,1
155885,84405,A,K1.5V,4,,,,,-4.711,4
156274,84720,Aa,M0V,7,,,-0.27,3,,
157214,84862,,G0V,7,,,-0.15,3,-5.04,5
157347,85042,A,G3V,1,,,0.03,3,-5.04,5
158614,85667,A,G8IV-V,7,0.98,6,-0.01,2,-5.12,9
158633,85235,,K0V,7,,,-0.33,3,-4.93,5
159062,85653,,G9V,1,,,-0.51,2,-5.03,5
159222,85810,,G1V,1,,,0.09,3,-4.9,5
160269,86036,A,G0V,7,1.08 1,0,-0.22,2,-4.61,9
160346,86400,Aa,K2.5V,1,,,-0.09,2,-4.956,1
160691,86796,A,G3IV-V,4,,,0.26,3,-5.101,4
161198,86722,Aa,G9V,1,,,-0.39,2,-4.97,5
161797,86974,Aa,G5IV,7,,,0.24,3,-5.11,5
162004,86620,B,G0V,7,,,-0.18,2,-4.86,9
164922,88348,A,G9V,1,,,0.17,3,-5.05,5
165185,88694,,G0V,4,,,-0.25,2,-4.545,4
165341,88601,A,K0-V,1,0.9,6,-0.29,2,-4.698,1
165401,88622,Aa,G0V,1,,,-0.5,2,-4.668,1
165499,89042,Aa,G0V,4,,,-0.17,2,-4.935,4
165908,88745,Aa,F7V,7,,,-0.55,2,-5.02,5
166620,88972,,K2V,1,,,-0.05,3,-4.97,5
167425,89805,A,F9.5V,4,,,0.02,2,-4.606,4
168009,89474,,G1V,1,,,-0.02,3,-5.08,5
170657,90790,,K2V,4,,,-0.15,3,-4.65,5
172051,91438,,G6V,4,,,-0.24,3,-4.9,5
175073,92858,,K1V,4,,,-0.14,2,-4.889,4
175742,92919,Aa,K0V,7,,,,,,
176051,93017,A,G0V,7,1.07 1,0,-0.19,2,,
176377,93185,,G1V,1,,,-0.23,3,-4.87,5
177474,93825,A,F8V,4,,,-0.22,2,-4.89,4
177565,93858,,G6V,4,,,0.07,3,-4.973,4
178428,93966,Aa,G4V,4,,,0.05,2,-5.11,4
179957,94336,A,G3V,1,,,,,-5.05,5
180161,94346,,G8V,7,,,,,-4.52,5
181321,95149,Aa,G1V,4,,,-0.26,2,-4.372,4
182488,95319,,G9+V,1,,,0.12,3,-4.94,5
182572,95447,,G8IVvar,7,,,0.36,3,-5.1,5
183870,96085,,K2.5V,4,,,-0.05,3,-4.512,4
184385,96183,,G8V,1,,,0.11,3,-4.56,5
184467,95995,A,K2V,1,0.8,6,-0.22,2,-5.047,1
185144,96100,,G9V,1,,,-0.16,3,-4.85,5
185414,96395,Aa,G0,7,,,-0.16,2,-4.88,9
186408,96895,Aa,G1.5V,1,,,0.08,3,-5.1,5
186858,97222,F,K3+V,1,0.69 1,0,,,-4.726,1
187691,97675,A,F8V,7,,,0.12,3,-5.05,5
189340,98416,A,F9V,1,1.12 1,0,-0.05,2,-4.951,1
189567,98959,,G2V,4,,,-0.18,3,-4.857,4
189733,98505,A,K2V,1,,,-0.12,2,-4.553,1
190067,98677,A,K0V,1,,,-0.3,3,-4.88,5
190248,99240,,G8IV,4,,,0.26,3,-5.092,4
190360,98767,A,G7IV-V,4,,,0.19,3,-5.09,5
190404,98792,,K1V,1,,,-0.44,3,-4.98,5
190406,98819,Aa,G0V,4,,,0.02,3,-4.77,5
190422,99137,,F9V,4,,,-0.21,2,-4.458,4
190470,98828,,K2.5V,1,,,-0.16,1,-4.828,1
190771,98921,Aa,G2V,1,,,0.14,3,-4.43,5
191408,99461,A,K2.5V,4,,,-0.33,3,-5.079,4
191499,99316,A,G9V,1,,,,,-5.076,1
191785,99452,A,K0V,1,,,-0.09,3,-5.03,5
192263,99711,A,K2.5V,1,,,-0.07,3,-4.676,1
192310,99825,,K2+V,4,,,0.14,2,-5.048,4
193664,100017,Aa,G0V,1,,,-0.11,3,-4.927,1
194640,100925,,G8V,4,,,-0.06,3,-4.924,4
195564,101345,A,G2V,1,,,0.01,3,-5.13,5
195987,101382,Aa,G9V,1,0.84 2,1,-0.38,2,-4.97,5
196378,101983,,G0V,4,,,-0.32,3,-4.837,4
196761,101997,,G8V,4,,,-0.25,3,-4.92,5
197076,102040,A,G1V,1,,,-0.09,3,-4.92,5
197214,102264,,G6V,4,,,-0.5,2,-4.92,5
198425,102766,Aa,K2.5V,1,,,,,-4.726,1
199260,103389,,F6V,4,,,-0.17,2,-4.402,4
199288,103458,,G2V,4,,,-0.47,3,-4.847,4
199509,104436,,G1V,4,,,-0.27,3,-4.925,4
200525,104440,A,F9.5V,4,,,-0.13,2,-4.667,4
200560,103859,C,K2.5V,1,,,0.01,2,-4.512,1
200968,104239,A,G9.5V,4,,,0.02,3,-4.65,4
202275,104858,A,F7V,1,1.19,6,-0.07,2,-4.905,1
202628,105184,,G1.5V,4,,,-0.01,3,-4.782,4
202751,105152,,K3V,1,,,-0.09,3,-5.111,1
202940,105312,Aa,G7V,4,,,-0.34,2,-4.988,4
203244,105712,,G8V,4,,,-0.32,2,-4.555,4
203850,105905,,K2.5V,4,,,-0.67,2,-5.033,4
203985,105911,Aa,K2III-IV,4,,,,,,
205390,106696,,K1.5V,4,,,-0.18,3,-4.702,4
205536,107022,,G9V,4,,,-0.03,3,-5.084,4
206826,107310,A,F6V,1,,,-0.2,2,-4.783,1
206860,107350,A,G0V,4,,,-0.01,3,-4.4,4
207129,107649,,G0V,4,,,-0.04,3,-5.02,4
207144,107625,,K3V,4,,,,,-4.99,4
208038,108028,,K2.5V,1,,,,,-4.569,1
208313,108156,,K2V,1,,,-0.08,3,-4.987,1
210277,109378,A,G8V,1,,,0.2,3,-5.06,5
210667,109527,,G9V,1,,,0.16,3,-4.5,5
210918,109821,,G2V,4,,,-0.07,3,-5.121,4
211415,110109,A,G0V,4,,,-0.36,2,-4.918,4
211472,109926,A,K0V,1,,,0.03,2,-4.538,1
212168,110712,A,G0V,4,,,-0.04,3,-4.981,4
212330,110649,Aa,G2IV-V,4,,,0.01,3,-5.157,4
214683,111888,,K3V,1,,,,,-4.554,1
214953,112117,A,F9.5V,4,,,0.03,3,-4.988,4
215152,112190,,K3V,1,,,-0.17,1,-4.925,1
215648,112447,A,F7V,7,,,-0.16,3,-5.07,5
216259,112870,,K2.5V,1,,,-0.47,3,-4.95,5
216520,112527,,K0V,1,,,,,-4.98,5
217014,113357,A,G2V+,4,,,0.15,3,-5.08,5
217107,113421,A,G8IV-V,1,,,0.27,3,-5.08,5
217813,113829,,G1V,1,,,0.02,3,-4.47,5
218868,114456,A,G8V,1,,,0.19,3,-4.75,5
219134,114622,,K3V,1,,,0.09,3,-5.089,1
219482,114948,,F6V,4,,,-0.2,2,-4.434,4
219538,114886,,K2V,1,,,-0.05,3,-4.84,5
219623,114924,,F7V,7,,,-0.09,2,-4.84,9
220140,115147,A,K2V,1,,,-0.64,2,-4.074,1
220182,115331,,G9V,1,,,0.01,2,-4.37,5
220339,115445,,K2.5V,1,,,-0.24,3,-4.896,1
221354,116085,,K0V,1,,,-0.01,3,-5.149,1
221851,116416,,K1V,1,,,-0.13,2,-4.735,1
222143,116613,,G3V,1,,,0.12,3,-4.555,1
222237,116745,,K3+V,4,,,-0.2,3,-4.959,4
222335,116763,,G9.5V,4,,,-0.16,3,-4.909,4
222368,116771,,F7V,7,,,-0.08,3,-4.76,9
223778,117712,Aa,K3V,1,0.79 1,5,-0.71,2,-4.518,1
224228,118008,,K2.5V,4,,,,,-4.468,4
224465,118162,Aa,G4V,1,,,-0.01,2,-4.969,1
224930,171,A,G5V,1,0.91 1,0,-0.78,2,-4.88,1
232781,15673,,K3.5V,1,,,,,-4.691,1
263175,32423,A,K3V,1,,,-0.59,1,-4.903,1
,36357,Ea,K2.5V,1,,,-0.61,1,-4.526,1
,40774,,G5,7,,,,,-4.38,9
,87579,,K2.5V,1,,,,,-4.529,1
,91605,A,K2.5V,1,,,-0.68,1,-4.909,1
